,features,Aggressive_label importance,Attractive_label importance,Confident_label importance,Intelligent_label importance,Masculine_label importance,Trust_label importance
65,F1.AH0,0.10180277271317587,0.07369876233719334,0.09134744582504771,0.04566142531099912,0.07666354096332062,0.028548720482614587
51,Oregon,0.025872624820945937,0.06398622396360226,0.014681268735353427,0.01126985458692117,0.09839256565952377,0.027671610615389457
110,F3.AO1_Norm,0.05664093102742124,0.03886510162818781,0.09486849481074344,0.05938773115896053,0.08564367859543122,0.027372975276253726
74,F1.ER0,0.06333572230635647,0.06463109449150646,0.08988964994151578,0.06748342302382457,0.08590960749766739,0.027244677431983572
24,Florida,0.09792534153264419,0.046325071738699576,0.011242554831266042,0.05737307417322433,0.023901620704599905,0.02683030861068162
84,F2.IY1,0.04953133996005507,0.08306569957503393,0.08073433766246983,0.06814075023692291,0.055243206069015977,0.026352229078535534
108,F1.AO1_Norm,0.07207905364839533,0.05512813979984262,0.09438454579651141,0.03700068706319376,0.07431294597323335,0.026326984133756143
76,F3.ER0,0.05842345007125533,0.05224488035728106,0.14535781939590683,0.02111249773370924,0.04699275797892149,0.025724289150065416
127,f0sd_Norm,0.08430750852750442,0.08261862375325046,0.13244245949168254,0.041378228411053486,0.051884983431985075,0.025664486248720152
80,F1.IH1,0.07925031008924228,0.039222236914832516,0.08245082501168602,0.047885343882887114,0.04089689180113474,0.025348031449457523
28,Illinois,0.01045673520371984,0.0390383914993637,0.04768608228974535,0.04204358127353274,0.05608459809062931,0.025292406600129182
61,Washington,0.03173280379973539,0.057432341420421196,0.007182207900263316,0.01458146562564563,0.013602277239788178,0.0245492380001922
36,Massachusetts,0.029359761656747183,0.0057695818361966755,0.03229066352474378,0.0074651256255707085,0.01612736261416515,0.02396671667128019
126,WordPerSec_Norm,0.07048209460617276,0.036970100670842256,0.038878061092807,0.026024176451170722,0.004757827940736491,0.023922805800223757
37,Michigan,0.019080664121273967,0.041714338983186244,0.01475729674963775,0.031827549419089336,0.013309875474663994,0.023086862920750063
119,F3.IH1_Norm,0.05517632821571004,0.03216911598826791,0.11223367654173774,0.014215979830902522,0.08332646043756395,0.023073103279245347
9,African American,0.09004972818308082,0.03629273923220702,0.02443471634436789,0.04313675691945066,0.02786695092552109,0.022725752778360777
57,Texas,0.05263698689084678,0.015424630795005815,0.05124720813104337,0.018644928035398772,0.029544566361165498,0.022600105684458357
54,South Carolina,0.04437078851784293,0.041170751312367755,0.0178968587334112,0.022962333177016597,0.021979021632036275,0.022416646371140832
27,Idaho,0.011210630721458408,0.013360588955194519,0.0,0.02712980291876373,0.025427443929405786,0.02197153082371996
44,New Hampshire,0.0,0.004561720247200643,0.006721209441153827,0.0,0.0043511675402209266,0.021751319696027647
63,Wisconsin,0.03024330031795405,0.0256956596448383,0.00649345399931927,0.024976319230329218,0.09065960509207095,0.021747557361764203
31,Kansas,0.044960235802649406,0.028519212683548966,0.048738783610658594,0.017399842237053292,0.03354560354231675,0.021376405753685174
48,North Carolina,0.055059247265694514,0.07700374560030418,0.06204823192134183,0.032670997034580276,0.02363118023759693,0.021351270657746918
19,California,0.04442654814476675,0.048954055882702976,0.020944884320731272,0.02237892725033183,0.054443910701448404,0.02095638157659131
49,Ohio,0.11244081656551898,0.04354809302256815,0.07069228144392284,0.038081685450578176,0.02652882520877164,0.020612165208788655
86,durPerPhone,0.043604817841578714,0.03077854133260521,0.053246892606786105,0.025962927299666524,0.015520620660261938,0.020435727339712436
40,Missouri,0.016829283089513404,0.0035947967613298593,0.050228907159381705,0.04934472760615069,0.029953599246418716,0.02018793164909332
88,PhonePerSec,0.05655800930765144,0.030698880934468327,0.037020082173657626,0.02582951964133985,0.006201503302073835,0.019534381485424735
125,durPerWord_Norm,0.03402364366439181,0.0235084456194712,0.032821766707382564,0.019730481374179328,0.015262048033733908,0.01951856862143326
64,Wyoming,0.011997762761341423,0.0090447910097764,0.0010534234399131375,0.020040511413772666,0.009017166138181836,0.019258080453898166
12,Hispanic or Latino/Latina,0.05942152891105576,0.03771183962192771,0.04203861157953476,0.08347818077676646,0.037750067352335,0.01802858371214
123,durPerPhone_Norm,0.04874592046058432,0.02269514570567286,0.019498133148422848,0.01736609956515752,0.021444116659203295,0.017781880655769845
137,onset_number,0.07283117287262753,0.043103590548659886,0.10129555769947098,0.03174409188395624,0.048888546787747324,0.017236288714944464
111,F1.ER0_Norm,0.07719420249601941,0.09105409457183383,0.12259264079019021,0.05358709522024637,0.12222923146360584,0.016735741829297393
14,White,0.06263370745668924,0.04812584684489223,0.1368366482159932,0.026990543816802277,0.11382310452863614,0.01655504646819846
56,Tennessee,0.022833089853873098,0.011477812134454177,1.560797586671269e-06,0.027054792534655037,0.011971949946696498,0.01651346726149901
132,H1A1_Norm,0.03662677928248791,0.07507504861033792,0.11707043856725372,0.03904798215185412,0.03105443150522073,0.01613886207091155
29,Indiana,0.009311454821970164,0.016445993145883894,0.030280852470214906,0.038515649763686,0.02144272059693955,0.01599996137982633
89,durPerWord,0.01752880923878357,0.03197362038028167,0.03186655358823112,0.015525870800118118,0.012886536649055768,0.01587108847076226
60,Virginia,0.01791105469077624,0.07717423433779705,0.03009185647095657,0.02154069492570973,0.044109181358750665,0.015445928403913048
13,Native Hawaiian or Pacific Islander,0.014198125599117872,0.014992699409368763,0.03009233013352215,0.01009104756577422,0.01110005205554669,0.015422321755903743
50,Oklahoma,0.0177261202961123,0.0,0.011808306199117947,0.00780655735256559,0.03320620904418667,0.01357399944440687
58,Utah,0.013835921726240617,0.03586447624489963,0.006734964822747558,0.011094871829156607,0.03525891917196261,0.012985129820127091
35,Maryland,0.034308097292638326,0.025133796045953814,0.028165850883245688,0.015710187187195464,0.06161094606894964,0.01263706082974809
33,Louisiana,0.007730953033194748,0.019432167391028637,0.03264500242928049,0.015232238637842954,0.06200462327279889,0.01216472333652663
21,Connecticut,0.03396164911022135,0.012747723283015539,0.011474177334284187,0.011158043212548156,0.0032298002375677703,0.011072968804032954
16,Alaska,0.05231661441401873,0.0,0.024573745960780633,0.008274528208714839,0.012023414763426148,0.010079905315564146
124,PhonePerSec_Norm,0.04414711965965397,0.03211995518240828,0.05084796795199088,0.007551736445811512,0.03598484337086508,0.00977971514235705
